iter	Passed	Remaining
0	152	152759
1	155	77345
2	157	52205
3	158	39588
4	163	32477
5	165	27380
6	167	23751
7	169	21079
8	172	19022
9	174	17287
10	176	15878
11	178	14725
12	180	13723
13	183	12945
14	186	12228
15	188	11593
16	190	11022
17	192	10517
18	195	10070
19	197	9670
20	199	9319
21	202	8987
22	203	8661
23	205	8368
24	207	8097
25	209	7851
26	211	7627
27	213	7417
28	215	7227
29	218	7050
30	219	6873
31	221	6704
32	223	6557
33	225	6417
34	227	6278
35	229	6153
36	231	6026
37	233	5911
38	235	5801
39	237	5693
40	239	5590
41	240	5486
42	242	5388
43	245	5324
44	246	5235
45	248	5149
46	249	5067
47	251	4988
48	253	4912
49	254	4841
50	256	4771
51	258	4703
52	259	4641
53	261	4580
54	263	4521
55	264	4463
56	266	4406
57	267	4350
58	269	4298
59	271	4250
60	272	4202
61	274	4154
62	276	4109
63	277	4064
64	279	4022
65	281	3980
66	282	3939
67	283	3890
68	285	3854
69	287	3818
70	289	3782
71	290	3747
72	292	3713
73	294	3682
74	296	3650
75	297	3619
76	299	3590
77	301	3560
78	302	3531
79	304	3503
80	306	3475
81	308	3448
82	309	3422
83	311	3396
84	312	3366
85	314	3340
86	315	3312
87	317	3287
88	318	3262
89	320	3238
90	321	3213
91	323	3191
92	324	3169
93	327	3152
94	328	3130
95	330	3111
96	332	3093
97	334	3075
98	335	3055
99	337	3036
100	338	3017
101	340	2993
102	341	2975
103	343	2958
104	345	2941
105	346	2924
106	348	2908
107	350	2893
108	351	2876
109	353	2859
110	355	2846
111	357	2833
112	358	2817
113	360	2802
114	362	2788
115	363	2772
116	365	2758
117	368	2752
118	369	2735
119	371	2722
120	373	2709
121	374	2694
122	375	2674
123	376	2660
124	378	2646
125	379	2634
126	381	2622
127	382	2605
128	383	2592
129	385	2581
130	387	2569
131	389	2558
132	390	2546
133	392	2533
134	393	2522
135	395	2511
136	396	2498
137	397	2485
138	399	2474
139	401	2464
140	402	2453
141	404	2441
142	405	2430
143	407	2419
144	408	2409
145	410	2399
146	412	2391
147	413	2381
148	415	2371
149	416	2361
150	418	2350
151	419	2340
152	421	2330
153	422	2321
154	424	2311
155	425	2302
156	427	2293
157	428	2283
158	429	2274
159	431	2265
160	432	2255
161	434	2247
162	436	2239
163	437	2232
164	439	2223
165	440	2214
166	442	2206
167	443	2197
168	445	2189
169	446	2180
170	447	2171
171	449	2162
172	450	2154
173	452	2146
174	453	2137
175	454	2129
176	456	2121
177	457	2114
178	459	2107
179	460	2099
180	461	2088
181	463	2081
182	464	2073
183	465	2066
184	467	2058
185	468	2051
186	469	2043
187	471	2035
188	472	2028
189	473	2020
190	475	2012
191	476	2005
192	477	1998
193	479	1991
194	480	1984
195	482	1977
196	483	1970
197	485	1964
198	486	1958
199	487	1951
200	489	1945
201	490	1939
202	492	1933
